Date,Weekday,Hour,Very negative,Negative,Positive,Very positive,Total
13/02/2021,Saturday,18:00,1,0,3,19,23
13/02/2021,Saturday,19:00,0,0,0,6,6
14/02/2021,Sunday,17:00,0,1,3,14,18
14/02/2021,Sunday,18:00,0,2,2,21,25
14/02/2021,Sunday,19:00,0,0,3,4,7
15/02/2021,Monday,17:00,0,0,2,17,19
15/02/2021,Monday,18:00,2,0,4,31,37
15/02/2021,Monday,19:00,0,1,3,10,14
16/02/2021,Tuesday,17:00,0,0,2,18,20
16/02/2021,Tuesday,18:00,0,0,5,19,24
16/02/2021,Tuesday,19:00,0,0,5,12,17
17/02/2021,Wednesday,17:00,2,0,3,19,24
17/02/2021,Wednesday,18:00,0,1,0,25,26
17/02/2021,Wednesday,19:00,0,0,2,12,14
18/02/2021,Thursday,17:00,0,1,2,24,27
18/02/2021,Thursday,18:00,0,0,5,17,22
18/02/2021,Thursday,19:00,0,0,1,7,8
19/02/2021,Friday,17:00,0,0,6,15,21
19/02/2021,Friday,18:00,0,0,1,21,22
19/02/2021,Friday,19:00,0,0,0,10,10
20/02/2021,Saturday,17:00,0,0,2,8,10
20/02/2021,Saturday,18:00,0,0,6,16,22
20/02/2021,Saturday,19:00,0,0,0,8,8
21/02/2021,Sunday,17:00,0,0,2,12,14
21/02/2021,Sunday,18:00,0,0,4,26,30
21/02/2021,Sunday,19:00,0,0,1,3,4
22/02/2021,Monday,17:00,1,0,6,25,32
22/02/2021,Monday,18:00,0,0,6,21,27
22/02/2021,Monday,19:00,0,0,3,17,20
23/02/2021,Tuesday,17:00,0,1,3,22,26
23/02/2021,Tuesday,18:00,0,0,4,27,31
23/02/2021,Tuesday,19:00,2,1,0,11,14
24/02/2021,Wednesday,17:00,0,1,1,16,18
24/02/2021,Wednesday,18:00,0,0,3,18,21
24/02/2021,Wednesday,19:00,0,0,7,12,19
25/02/2021,Thursday,17:00,1,0,3,21,25
25/02/2021,Thursday,18:00,1,0,5,19,25
25/02/2021,Thursday,19:00,2,1,6,11,20
26/02/2021,Friday,17:00,1,2,1,16,20
26/02/2021,Friday,18:00,0,0,2,15,17
26/02/2021,Friday,19:00,0,0,0,11,11
27/02/2021,Saturday,17:00,1,0,4,15,20
27/02/2021,Saturday,18:00,0,0,3,16,19
27/02/2021,Saturday,19:00,0,0,1,4,5
28/02/2021,Sunday,17:00,0,0,0,12,12
28/02/2021,Sunday,18:00,0,0,2,26,28
28/02/2021,Sunday,19:00,0,0,1,14,15
1/3/2021,Monday,17:00,0,1,1,13,15
1/3/2021,Monday,18:00,0,0,4,25,29
1/3/2021,Monday,19:00,0,0,4,12,16
2/3/2021,Tuesday,17:00,1,1,3,13,18
2/3/2021,Tuesday,18:00,0,0,4,16,20
2/3/2021,Tuesday,19:00,0,0,0,17,17
3/3/2021,Wednesday,17:00,2,0,2,12,16
3/3/2021,Wednesday,18:00,0,0,4,28,32
3/3/2021,Wednesday,19:00,1,0,7,14,22
4/3/2021,Thursday,17:00,1,0,4,20,25
4/3/2021,Thursday,18:00,0,0,2,18,20
4/3/2021,Thursday,19:00,0,0,1,11,12
5/3/2021,Friday,17:00,1,0,0,11,12
5/3/2021,Friday,18:00,0,0,0,20,20
5/3/2021,Friday,19:00,0,0,3,11,14
6/3/2021,Saturday,17:00,1,0,2,6,9
6/3/2021,Saturday,18:00,0,0,2,26,28
6/3/2021,Saturday,19:00,0,0,1,4,5
7/3/2021,Sunday,17:00,0,0,4,13,17
7/3/2021,Sunday,18:00,0,0,4,30,34
7/3/2021,Sunday,19:00,0,0,1,4,5
8/3/2021,Monday,17:00,0,1,6,22,29
8/3/2021,Monday,18:00,1,1,5,16,23
8/3/2021,Monday,19:00,0,0,5,13,18
9/3/2021,Tuesday,17:00,1,0,5,14,20
9/3/2021,Tuesday,18:00,0,0,7,22,29
9/3/2021,Tuesday,19:00,0,0,4,12,16
10/3/2021,Wednesday,17:00,0,1,4,21,26
10/3/2021,Wednesday,18:00,1,1,2,19,23
10/3/2021,Wednesday,19:00,0,0,3,13,16
11/3/2021,Thursday,17:00,0,0,3,21,24
11/3/2021,Thursday,18:00,0,0,4,15,19
11/3/2021,Thursday,19:00,0,0,1,18,19
12/3/2021,Friday,17:00,1,0,2,15,18
12/3/2021,Friday,18:00,0,1,2,15,18
12/3/2021,Friday,19:00,0,0,2,16,18
13/03/2021,Saturday,17:00,0,0,2,11,13
13/03/2021,Saturday,18:00,0,0,4,26,30
13/03/2021,Saturday,19:00,0,0,1,7,8
14/03/2021,Sunday,17:00,0,0,1,11,12
14/03/2021,Sunday,18:00,0,0,1,33,34
14/03/2021,Sunday,19:00,1,2,2,2,7
15/03/2021,Monday,17:00,0,1,4,15,20
15/03/2021,Monday,18:00,0,0,4,28,32
15/03/2021,Monday,19:00,2,0,3,12,17
16/03/2021,Tuesday,17:00,0,1,2,15,18
16/03/2021,Tuesday,18:00,0,0,0,16,16
16/03/2021,Tuesday,19:00,0,0,0,13,13
17/03/2021,Wednesday,17:00,0,0,1,21,22
17/03/2021,Wednesday,18:00,0,0,2,23,25
17/03/2021,Wednesday,19:00,0,0,3,10,13
18/03/2021,Thursday,17:00,0,0,1,14,15
18/03/2021,Thursday,18:00,1,0,6,24,31
18/03/2021,Thursday,19:00,1,0,0,16,17
19/03/2021,Friday,17:00,0,2,1,9,12
19/03/2021,Friday,18:00,0,1,3,22,26
19/03/2021,Friday,19:00,1,0,2,8,11
20/03/2021,Saturday,17:00,0,0,1,13,14
20/03/2021,Saturday,18:00,0,0,2,21,23
20/03/2021,Saturday,19:00,0,0,2,3,5
21/03/2021,Sunday,17:00,0,0,4,14,18
21/03/2021,Sunday,18:00,0,0,7,22,29
21/03/2021,Sunday,19:00,0,0,2,3,5
22/03/2021,Monday,17:00,0,0,2,23,25
22/03/2021,Monday,18:00,0,0,5,29,34
22/03/2021,Monday,19:00,0,0,2,8,10
23/03/2021,Tuesday,17:00,0,0,3,13,16
23/03/2021,Tuesday,18:00,1,0,4,20,25
23/03/2021,Tuesday,19:00,0,0,3,22,25
24/03/2021,Wednesday,17:00,0,0,9,16,25
24/03/2021,Wednesday,18:00,0,0,3,21,24
24/03/2021,Wednesday,19:00,1,1,6,13,21
25/03/2021,Thursday,17:00,0,0,2,12,14
25/03/2021,Thursday,18:00,0,0,2,17,19
25/03/2021,Thursday,19:00,0,1,1,8,10
26/03/2021,Friday,17:00,0,0,0,5,5
26/03/2021,Friday,18:00,0,0,0,11,11
26/03/2021,Friday,19:00,0,0,1,11,12
27/03/2021,Saturday,17:00,0,0,3,7,10
27/03/2021,Saturday,18:00,0,0,4,13,17
27/03/2021,Saturday,19:00,0,0,0,6,6
28/03/2021,Sunday,17:00,0,2,3,15,20
28/03/2021,Sunday,18:00,0,0,5,13,18
28/03/2021,Sunday,19:00,0,0,0,2,2
29/03/2021,Monday,17:00,1,0,5,19,25
29/03/2021,Monday,18:00,1,2,3,18,24
29/03/2021,Monday,19:00,0,0,4,12,16
30/03/2021,Tuesday,17:00,0,2,5,14,21
30/03/2021,Tuesday,18:00,0,1,7,22,30
30/03/2021,Tuesday,19:00,0,0,2,10,12
31/03/2021,Wednesday,17:00,1,1,4,17,23
31/03/2021,Wednesday,18:00,1,1,5,26,33
31/03/2021,Wednesday,19:00,0,0,4,15,19
