Date,Weekday,Hour,Very negative,Negative,Positive,Very positive,Total
13/02/2021,Saturday,12:00,0,0,0,11,11
13/02/2021,Saturday,13:00,0,0,1,4,5
14/02/2021,Sunday,11:00,0,0,0,14,14
14/02/2021,Sunday,12:00,0,1,2,12,15
14/02/2021,Sunday,13:00,0,0,2,4,6
15/02/2021,Monday,11:00,0,0,3,13,16
15/02/2021,Monday,12:00,0,0,2,21,23
15/02/2021,Monday,13:00,0,0,1,8,9
16/02/2021,Tuesday,11:00,0,0,4,7,11
16/02/2021,Tuesday,12:00,0,1,3,14,18
16/02/2021,Tuesday,13:00,0,0,4,12,16
17/02/2021,Wednesday,11:00,0,0,2,9,11
17/02/2021,Wednesday,12:00,1,1,1,18,21
17/02/2021,Wednesday,13:00,0,0,2,7,9
18/02/2021,Thursday,11:00,0,0,0,13,13
18/02/2021,Thursday,12:00,0,0,2,21,23
18/02/2021,Thursday,13:00,0,0,2,9,11
19/02/2021,Friday,11:00,0,0,7,11,18
19/02/2021,Friday,12:00,0,2,4,13,19
19/02/2021,Friday,13:00,1,0,1,11,13
20/02/2021,Saturday,11:00,0,0,0,12,12
20/02/2021,Saturday,12:00,0,0,2,16,18
20/02/2021,Saturday,13:00,1,0,1,3,5
21/02/2021,Sunday,11:00,1,0,1,9,11
21/02/2021,Sunday,12:00,0,0,4,20,24
21/02/2021,Sunday,13:00,0,0,1,2,3
22/02/2021,Monday,11:00,0,0,2,10,12
22/02/2021,Monday,12:00,0,1,1,21,23
22/02/2021,Monday,13:00,0,1,3,10,14
23/02/2021,Tuesday,11:00,0,0,2,7,9
23/02/2021,Tuesday,12:00,0,0,4,16,20
23/02/2021,Tuesday,13:00,0,0,6,13,19
24/02/2021,Wednesday,11:00,0,1,3,13,17
24/02/2021,Wednesday,12:00,0,1,3,20,24
24/02/2021,Wednesday,13:00,0,0,3,12,15
25/02/2021,Thursday,11:00,0,0,0,15,15
25/02/2021,Thursday,12:00,0,0,3,21,24
25/02/2021,Thursday,13:00,0,0,0,10,10
26/02/2021,Friday,11:00,0,0,3,9,12
26/02/2021,Friday,12:00,0,0,3,14,17
26/02/2021,Friday,13:00,0,0,5,6,11
27/02/2021,Saturday,11:00,0,0,1,10,11
27/02/2021,Saturday,12:00,0,1,1,14,16
27/02/2021,Saturday,13:00,0,1,2,7,10
28/02/2021,Sunday,11:00,0,1,0,12,13
28/02/2021,Sunday,12:00,0,0,2,21,23
28/02/2021,Sunday,13:00,0,0,1,5,6
1/3/2021,Monday,11:00,0,1,0,12,13
1/3/2021,Monday,12:00,0,0,4,19,23
1/3/2021,Monday,13:00,0,0,2,12,14
2/3/2021,Tuesday,11:00,1,1,0,13,15
2/3/2021,Tuesday,12:00,0,0,5,18,23
2/3/2021,Tuesday,13:00,0,0,2,15,17
3/3/2021,Wednesday,11:00,0,0,0,11,11
3/3/2021,Wednesday,12:00,0,0,1,24,25
3/3/2021,Wednesday,13:00,0,0,1,9,10
4/3/2021,Thursday,11:00,0,0,0,8,8
4/3/2021,Thursday,12:00,0,0,4,18,22
4/3/2021,Thursday,13:00,0,1,1,8,10
5/3/2021,Friday,11:00,0,1,3,11,15
5/3/2021,Friday,12:00,0,0,2,16,18
5/3/2021,Friday,13:00,0,0,1,6,7
6/3/2021,Saturday,11:00,0,0,2,4,6
6/3/2021,Saturday,12:00,0,0,2,17,19
6/3/2021,Saturday,13:00,0,0,1,5,6
7/3/2021,Sunday,11:00,1,0,2,15,18
7/3/2021,Sunday,12:00,0,0,0,17,17
7/3/2021,Sunday,13:00,1,0,1,5,7
8/3/2021,Monday,11:00,0,0,3,5,8
8/3/2021,Monday,12:00,0,2,2,12,16
8/3/2021,Monday,13:00,0,0,2,11,13
9/3/2021,Tuesday,11:00,0,0,2,9,11
9/3/2021,Tuesday,12:00,1,0,3,19,23
9/3/2021,Tuesday,13:00,0,0,1,13,14
10/3/2021,Wednesday,11:00,0,0,3,7,10
10/3/2021,Wednesday,12:00,0,0,2,11,13
10/3/2021,Wednesday,13:00,0,0,1,10,11
11/3/2021,Thursday,11:00,0,0,1,8,9
11/3/2021,Thursday,12:00,0,0,2,16,18
11/3/2021,Thursday,13:00,0,1,3,12,16
12/3/2021,Friday,11:00,0,0,5,11,16
12/3/2021,Friday,12:00,0,0,3,13,16
12/3/2021,Friday,13:00,0,0,0,8,8
13/03/2021,Saturday,11:00,1,0,2,12,15
13/03/2021,Saturday,12:00,0,0,3,20,23
13/03/2021,Saturday,13:00,1,0,0,8,9
14/03/2021,Sunday,11:00,0,0,2,6,8
14/03/2021,Sunday,12:00,0,0,2,15,17
14/03/2021,Sunday,13:00,0,0,1,2,3
15/03/2021,Monday,11:00,0,0,0,11,11
15/03/2021,Monday,12:00,0,1,3,18,22
15/03/2021,Monday,13:00,0,0,2,12,14
16/03/2021,Tuesday,11:00,0,0,2,11,13
16/03/2021,Tuesday,12:00,0,1,2,13,16
16/03/2021,Tuesday,13:00,0,0,2,10,12
17/03/2021,Wednesday,11:00,0,0,1,12,13
17/03/2021,Wednesday,12:00,0,1,4,19,24
17/03/2021,Wednesday,13:00,0,0,3,14,17
18/03/2021,Thursday,11:00,0,0,2,13,15
18/03/2021,Thursday,12:00,0,0,1,12,13
18/03/2021,Thursday,13:00,1,0,2,6,9
19/03/2021,Friday,11:00,0,0,1,12,13
19/03/2021,Friday,12:00,0,0,5,12,17
19/03/2021,Friday,13:00,0,0,1,10,11
20/03/2021,Saturday,11:00,0,0,1,18,19
20/03/2021,Saturday,12:00,0,0,2,8,10
20/03/2021,Saturday,13:00,0,1,1,9,11
21/03/2021,Sunday,11:00,0,1,1,13,15
21/03/2021,Sunday,12:00,0,0,4,19,23
21/03/2021,Sunday,13:00,0,0,1,3,4
22/03/2021,Monday,11:00,0,1,1,20,22
22/03/2021,Monday,12:00,0,0,0,17,17
22/03/2021,Monday,13:00,0,0,4,11,15
23/03/2021,Tuesday,11:00,0,0,3,7,10
23/03/2021,Tuesday,12:00,0,0,3,18,21
23/03/2021,Tuesday,13:00,0,1,1,9,11
24/03/2021,Wednesday,11:00,0,0,3,15,18
24/03/2021,Wednesday,12:00,1,0,3,21,25
24/03/2021,Wednesday,13:00,0,0,1,14,15
25/03/2021,Thursday,11:00,0,0,0,12,12
25/03/2021,Thursday,12:00,0,0,6,12,18
25/03/2021,Thursday,13:00,0,0,1,17,18
26/03/2021,Friday,11:00,0,0,0,6,6
26/03/2021,Friday,12:00,0,0,4,13,17
26/03/2021,Friday,13:00,0,0,0,7,7
27/03/2021,Saturday,11:00,0,1,0,11,12
27/03/2021,Saturday,12:00,0,0,2,15,17
27/03/2021,Saturday,13:00,0,0,0,9,9
28/03/2021,Sunday,11:00,0,1,1,9,11
28/03/2021,Sunday,12:00,0,0,1,13,14
28/03/2021,Sunday,13:00,0,0,0,2,2
29/03/2021,Monday,11:00,0,0,0,12,12
29/03/2021,Monday,12:00,0,0,3,17,20
29/03/2021,Monday,13:00,0,1,2,9,12
30/03/2021,Tuesday,11:00,0,2,0,11,13
30/03/2021,Tuesday,12:00,0,2,3,18,23
30/03/2021,Tuesday,13:00,0,0,1,14,15
31/03/2021,Wednesday,11:00,0,0,4,13,17
31/03/2021,Wednesday,12:00,0,1,4,15,20
31/03/2021,Wednesday,13:00,0,0,1,12,13
